,Feature,Score,Model_name,rmse_val,r2_score,mse,mae,f1,precision,recall
81,lost_reason_encoded,"[1.0, 1.0]",RandomForest Classification,0.0,1.0,0.0,0.0,1.0,1.0,1.0
82,source_encoded,"[0.9269318469723841, 0.9233952003782953]",RandomForest Classification,0.27677572079520396,-0.082959928306235,0.07660479962170469,0.07660479962170469,0.0,0.0,0.0
83,source_city_encoded,"[0.9269318469723841, 0.9233952003782953]",RandomForest Classification,0.27677572079520396,-0.082959928306235,0.07660479962170469,0.07660479962170469,0.0,0.0,0.0
84,des_city_encoded,"[1.0, 1.0]",RandomForest Classification,0.0,1.0,0.0,0.0,1.0,1.0,1.0
85,des_country_encoded,"[0.9269318469723841, 0.9233952003782953]",RandomForest Classification,0.27677572079520396,-0.082959928306235,0.07660479962170469,0.07660479962170469,0.0,0.0,0.0
86,room_type_encoded,"[0.9269318469723841, 0.9233952003782953]",RandomForest Classification,0.27677572079520396,-0.082959928306235,0.07660479962170469,0.07660479962170469,0.0,0.0,0.0
87,budget_new,"[0.9999999999714506, 0.9999999999714537]", XGBRegressor,5.46020084671977e-06,0.9999999999714537,2.9813793286519296e-11,2.8914012872833864e-06,na,na,na
88,lease_span_avg_week,"[0.9999999999714506, 0.9999999999714537]", XGBRegressor,5.46020084671977e-06,0.9999999999714537,2.9813793286519296e-11,2.8914012872833864e-06,na,na,na
89,Agent_id_encoded,"[0.9999999999714506, 0.9999999999714537]", XGBRegressor,5.46020084671977e-06,0.9999999999714537,2.9813793286519296e-11,2.8914012872833864e-06,na,na,na
90,lost_reason_encoded,"[0.9999999999714506, 0.9999999999714537]", XGBRegressor,5.46020084671977e-06,0.9999999999714537,2.9813793286519296e-11,2.8914012872833864e-06,na,na,na
91,source_encoded,"[0.9999999999714506, 0.9999999999714537]", XGBRegressor,5.46020084671977e-06,0.9999999999714537,2.9813793286519296e-11,2.8914012872833864e-06,na,na,na
92,source_city_encoded,"[0.9999999999714506, 0.9999999999714537]", XGBRegressor,5.46020084671977e-06,0.9999999999714537,2.9813793286519296e-11,2.8914012872833864e-06,na,na,na
93,des_city_encoded,"[0.9999999999714506, 0.9999999999714537]", XGBRegressor,5.46020084671977e-06,0.9999999999714537,2.9813793286519296e-11,2.8914012872833864e-06,na,na,na
94,des_country_encoded,"[0.9999999999714506, 0.9999999999714537]", XGBRegressor,5.46020084671977e-06,0.9999999999714537,2.9813793286519296e-11,2.8914012872833864e-06,na,na,na
95,room_type_encoded,"[0.9999999999714506, 0.9999999999714537]", XGBRegressor,5.46020084671977e-06,0.9999999999714537,2.9813793286519296e-11,2.8914012872833864e-06,na,na,na
96,budget_new,"[0.9999999992944921, 0.9999999992943673]", GradientBoostingRegressor,2.714708279539245e-05,0.9999999992943673,7.369641042998927e-10,1.4133327383628413e-05,na,na,na
97,lease_span_avg_week,"[0.9999999992944921, 0.9999999992943673]", GradientBoostingRegressor,2.7147082795351046e-05,0.9999999992943673,7.369641042976448e-10,1.4133327383597936e-05,na,na,na
98,Agent_id_encoded,"[0.9999999992944921, 0.9999999992943673]", GradientBoostingRegressor,2.7147082795428272e-05,0.9999999992943673,7.369641043018377e-10,1.4133327383664342e-05,na,na,na
99,lost_reason_encoded,"[0.9999999992944921, 0.9999999992943673]", GradientBoostingRegressor,2.71470827954115e-05,0.9999999992943673,7.369641043009271e-10,1.4133327383652982e-05,na,na,na
100,source_encoded,"[0.9999999992944921, 0.9999999992943673]", GradientBoostingRegressor,2.7147082795320295e-05,0.9999999992943673,7.369641042959752e-10,1.4133327383608712e-05,na,na,na
101,source_city_encoded,"[0.9999999992944921, 0.9999999992943673]", GradientBoostingRegressor,2.71470827953117e-05,0.9999999992943673,7.369641042955086e-10,1.4133327383553496e-05,na,na,na
102,des_city_encoded,"[0.9999999992944921, 0.9999999992943673]", GradientBoostingRegressor,2.714708279533817e-05,0.9999999992943673,7.369641042969457e-10,1.4133327383605063e-05,na,na,na
103,des_country_encoded,"[0.9999999992944921, 0.9999999992943673]", GradientBoostingRegressor,2.7147082795321146e-05,0.9999999992943673,7.369641042960213e-10,1.4133327383612407e-05,na,na,na
104,room_type_encoded,"[0.9999999992944921, 0.9999999992943673]", GradientBoostingRegressor,2.7147082795385676e-05,0.9999999992943673,7.369641042995249e-10,1.4133327383634437e-05,na,na,na
105,budget_new,"[0.9657049417430995, 0.9394344632687994]", KNeighborsRegressor,0.2515049953568378,0.9394344632687994,0.06325476268944301,0.027436578224201178,na,na,na
106,lease_span_avg_week,"[0.968996788521685, 0.9413730952392242]", KNeighborsRegressor,0.24744706856705725,0.9413730952392242,0.06123005174242993,0.02607383427266801,na,na,na
107,Agent_id_encoded,"[0.9211153808331677, 0.8699111098466709]", KNeighborsRegressor,0.3685988148467974,0.8699111098466709,0.13586508630646366,0.06323131935113908,na,na,na
108,lost_reason_encoded,"[0.9783935147805566, 0.9614947581046672]", KNeighborsRegressor,0.20053665117581734,0.9614947581046672,0.04021494846481144,0.016716325805473584,na,na,na
109,source_encoded,"[0.9697449355168181, 0.9421752877787103]", KNeighborsRegressor,0.24574832718877193,0.9421752877787103,0.060392240316079704,0.025528736692054743,na,na,na
110,source_city_encoded,"[0.921145306712973, 0.8721171393302576]", KNeighborsRegressor,0.3654601276254368,0.8721171393302576,0.13356110488400053,0.06059668104484163,na,na,na
111,des_city_encoded,"[0.9247962640492224, 0.8889631826594657]", KNeighborsRegressor,0.3405393735394565,0.8889631826594657,0.11596706493064551,0.05369211169040691,na,na,na
112,des_country_encoded,"[0.9706127860311725, 0.9428437815616154]", KNeighborsRegressor,0.24432368720092307,0.9428437815616154,0.059694064127454496,0.02462024072436596,na,na,na
113,room_type_encoded,"[0.9605576904165839, 0.9301423996864189]", KNeighborsRegressor,0.2701099992805399,0.9301423996864189,0.07295941171133327,0.031161411691725174,na,na,na
114,budget_new,"[0.797132548626097, 0.7991849979513014]",SVM,0.45796459817226776,0.7991849979513014,0.2097315731790867,0.15764019889793976,na,na,na
115,lease_span_avg_week,"[0.7988834098847978, 0.8017256097231692]",SVM,0.45505840655153285,0.8017256097231692,0.20707815337322014,0.15704394713550263,na,na,na
116,Agent_id_encoded,"[0.7934113410935286, 0.796165702667774]",SVM,0.4613945502087671,0.796165702667774,0.2128849309623505,0.1531547782099519,na,na,na
117,lost_reason_encoded,"[0.8857005700444969, 0.8874277674669485]",SVM,0.34288577617289784,0.8874277674669485,0.1175706555016906,0.11497525673409419,na,na,na
118,source_encoded,"[0.7977733410996394, 0.8007639990098356]",SVM,0.4561605654218725,0.8007639990098356,0.20808246144600243,0.1574756425634122,na,na,na
119,source_city_encoded,"[0.7917244068095224, 0.7934945791912803]",SVM,0.4644078567840656,0.7934945791912803,0.2156746574427692,0.15495347970107762,na,na,na
120,des_city_encoded,"[0.7949188311458169, 0.7973759157904106]",SVM,0.4600228060179471,0.7973759157904106,0.21162098205662577,0.15512675565609918,na,na,na
121,des_country_encoded,"[0.8024807339956747, 0.8048105865058437]",SVM,0.4515043717466205,0.8048105865058437,0.2038561977063105,0.15583251048131552,na,na,na
122,room_type_encoded,"[0.7944234850978753, 0.7965816683691216]",SVM,0.46092352466140957,0.7965816683691216,0.21245049558629706,0.1555671280059293,na,na,na
